Row,Roid,Domain,Registrar,RegistrantId,CreationDate,Name,Street,Street number,Street Name,City,City 2,State,State 2,Country,Country 2,PostCode,Zip,Latitude,Longitude,Relevance,,
1,D60813033-CNIC,genotrust.coop,H941168,0-1518109524-067,08/02/2018,GenoTrust eG,Johann-Gutenberg-Str. 2A,2A,Johann-Gutenberg-Straße,Wehrheim,Wehrheim,,Hessen,DE,DEU,61237,61273,50.31059,8.56249,0.96,,
2,D61086677-CNIC,dbc.coop,H941168,0-1518613484-236,14/02/2018,DBC Deutsche BlockChain eG,Kantstraße 10,10,Kantstraße,Böhlen,Böhlen,,Sachsen,DE,DEU,4564,4564,51.23533,12.38318,0.91,,
3,D68378859-CNIC,trustxchange.coop,H941168,0-1527083721-875,23/05/2018,SCC Smart Coop Crowdfunding eG,Wollankstraße 68,68,Wollankstraße,Berlin,Berlin,,Berlin,DE,DEU,13359,13359,52.56059,13.38819,0.97,,
4,D70126110-CNIC,trustin.coop,H941168,0-1528919745-1,13/06/2018,SCC Smart Coop Crowdfunding eG,Wollankstraße 68,68,Wollankstraße,Berlin,Berlin,,Berlin,DE,DEU,13359,13359,52.56059,13.38819,0.97,,
5,D72782184-CNIC,wpia.coop,H941168,0-1532462888-296,24/07/2018,World Privacy and Identity Association (WPIA) - Verein zur Förderung von sicher,Brockmanngasse 15,15,Brockmanngasse,Graz,Graz,Styria,Steiermark,AT,AUT,8010,8010,47.06552,15.45058,1,,
6,D75190909-CNIC,gemeinwohl.coop,H941168,0-1535376757-813,27/08/2018,BfG Eigentümer/-innen- und Verwaltungsgenossenschaft eG,Rechte Wienzeile 81,81,Rechte Wienzeile,Wien,Wien,,Wien,AT,AUT,1050,1050,48.19354,16.35505,1,,
7,D78191484-CNIC,laselva.coop,H941168,0-1538653281-142,04/10/2018,"La Selva. Ecosistema creatiu, S.C.C.L.","Carrer de Freixures, 10 3",10,Carrer de Freixures,Barcelona,Barcelona,Cataluya,Catalunya,ES,ESP,8003,8003,41.38663,2.17721,0.94,,
8,D67964339-CNIC,larevolta.coop,H17050822,05eipv8bo9,21/05/2018,LA REVOLTA SCCL,"VOLTA, 5",5,Carrer de Volta,Terrassa,Terrassa,Barcelona,Catalunya,ES,ESP,8224,8224,41.56351,2.00728,1,,
9,D69447340-CNIC,sanford.coop,H17050822,0l2qnquwr9,06/06/2018,Sanford housing Co-operative,6 Sanford Walk,,Sanford Walk,London,London,,England,GB,GBR,SE14 6NB,SE14 6NB,51.482,-0.04245,0.82,,
10,D76078719-CNIC,ahconsumers.coop,H17050822,1kj73gi8d5,07/09/2018,Amalgamated Housing Corporation,98 Van Cortlandt Park South,98,Van Cortlandt Park S,Bronx,New York,New York,NY,US,USA,10463,10463,40.8848917,-73.8916678,1,,
11,D69904490-CNIC,a1designbuild.coop,H17050822,1pykgo6pwz,13/06/2018,A-1 Builders and Adaptations Design Studio,3310 Northwest Ave.,3310,Northwest Ave,Bellingham,Bellingham,WA,WA,US,USA,98225,98225,48.77648,-122.49739,1,,
12,D70826685-CNIC,casacare.coop,H17050822,25tctfpyen,23/06/2018,Casa Care Cooperative,7650 S McClintock Dr Ste 103-495,7650,S McClintock Dr,TEMPE,Tempe,AZ,AZ,US,USA,85284,85284,33.34811,-111.91224,0.9,,
13,D72589949-CNIC,cssdq.coop,H17050822,2ew24i1nza,20/07/2018,Coopérative de solidarité de service à domicile de Québec,"110, 51e Rue Est",110,51e Rue E,Québec,Québec,Qc,QC,CA,CAN,G1H 2J9,G1H 2J9,46.84747,-71.25278,0.97,,
14,D72589954-CNIC,aidedomicilequebec.coop,H17050822,2ew24i1nza,20/07/2018,Coopérative de solidarité de service à domicile de Québec,"110, 51e Rue Est",110,51e Rue E,Québec,Québec,Qc,QC,CA,CAN,G1H 2J9,G1H 2J9,46.84747,-71.25278,0.97,,
15,D70939020-CNIC,yoga.coop,H17050822,2x71l3scvv,26/06/2018,Yoga.Coop,2a The Crescent,,The Crescent,Ripon,Ripon,North Yorkshire,England,GB,GBR,HG4 2JB,HG4 2,54.14076,-1.52555,0.93,,
16,D71935104-CNIC,camilla.coop,H17050822,3y5w5re6j3,13/07/2018,Dominiando SRL,Piazzale Clodio 8,8,Piazzale Clodio,Rome,Roma,Not Applicable,Lazio,IT,ITA,195,195,41.9169555,12.455618,0.63,,
17,D76566179-CNIC,ourfarmfamilies.coop,H17050822,3y7ygoccts,13/09/2018,Agri-mark / Cabot Creamery Coop,1 Home Farm Way,1,Home Farm Way,Montpelier,Montpelier,Vermont,VT,US,USA,5603,5602,44.24527,-72.54836,0.97,,
18,D73411649-CNIC,ruralband.coop,H17050822,3zuarn08qf,01/08/2018,Prince George Electric Cooperative,7103 General Mahone Highway,7103,General Mahone Hwy,Waverly,Waverly,Virginia,VA,US,USA,23890,23890,37.0231225,-77.0732907,1,,
