Domain,Name,Postcode,URI,,,
2020.coop,20/20 Housing Co-operative,B13 8AB,2020.lod.coop,,,
2rivers.coop,M&S Community Energy Society,LA14 2PN,2rivers.lod.coop,,,
3mules.coop,3 Mules Coop LLP,M155RF,3mules.lod.coop,,,
3rdway.coop,3rd Way Commonwealth Ltd,PR7 4LA,3rdway.lod.coop,,,
8thday.coop,On The Eighth Day Co-Operative Limited,M1 7DU,8thday.lod.coop,,,
a2zprobateresearch.coop,A2Z Probate Research Ltd,SO15 5EG,a2zprobateresearch.lod.coop,,,
abundantearth.coop,Abundant Earth,DH7 8EN,abundantearth.lod.coop,,,
accountancy.coop,Accountancy.Coop Ltd,BH16 6JE,accountancy.lod.coop,,,
acu.coop,Afrikan Cooperative Union limited,EN3 7XU,acu.lod.coop,,,
agile.coop,Agile Collective Ltd,OX4 1BA,agile.lod.coop,,,
alpha.coop,Alpha Communication,NE1 4XF,alpha.lod.coop,,,
altgen.coop,Altgen,SE1 4YR,altgen.lod.coop,,,
alunburgeassociates.coop,Alun Burge & Associates,SA3 5TR,alunburgeassociates.lod.coop,,,
animorph.coop,animorph,SE14 6NB,animorph.lod.coop,,,
architects.coop,Leeds Environmental Design Associates Ltd,LS9 0DG,architects.lod.coop,,,
argyllsmallwoods.coop,Argyll Small Woods Cooperative,PA29 6XG,argyllsmallwoods.lod.coop,,,
artzone.coop,ArtZone Co-op Ltd,E1 1LX,artzone.lod.coop,,,
ash.coop,Argyle Street Housing Co operative,CB1 3LU,ash.lod.coop,,,
assamhealthcare.coop,Assam Healthcare Cooperative Ltd.,NE299JA,assamhealthcare.lod.coop,,,
atomised.coop,Atomised Co-operative Ltd,KY114SZ,atomised.lod.coop,,,
awel.coop,Awel,SA9 2GN,awel.lod.coop,,,
b4rn.coop,Broadband for the Rural North Ltd,LA1 3JQ,b4rn.lod.coop,,,
baywind.coop,Baywind Energy Co-operative,LA14 2PN,baywind.lod.coop,,,
bch.coop,Indigo IT,GU185RP,bch.lod.coop,,,
