Company,,,,,Website,Address,Details
GATESHEAD,,,,,,,
Climate Change groups,,,,,,,
the4Cs - Climate Change Community Champions,,,,,"http://www.the4csne.com
(DOESN’T SEEM TO BE WORKING)",,the4Cs - Climate Change Community Champions' is a Gateshead based charity with a mission to develop environmentally responsible communities by promoting ethical living and raising awareness of sustainable solutions and technologies.
AllSortz,,,,,,"Allsortz
Shadon House
Birtley
Chester le Street
DH32AP","Our main aim is to create, recycle, reuse & relove items in innovative and unusual ways and then resell."
The Bike Farm,,,,,https://thebikefarm.wordpress.com/,"The Bike Farm
c/o Bill Quay Farm
Hainingwood Terrace
Gateshead
NE10 0UE","The Bike Farm is one of five Go Smarter Centres across Tyne & Wear, delivered by Sustrans, aimed at helping you to choose active, greener and healthier ways of traveling.
"
Social Clubs,,,,,,,
Allerdene Social Club,,,,,,,"To encourage local community groups in and around the Allerdene and Harlow Green Estates to organize Community Meetings/Social Evenings/ Charity Events, Evenings/Sports Events etc."
Art Groups / Communities,,,,,,,
Art Club - Ryton,,,,,,"Ryton Commmunity Centre
Cross House Hall
Ryton
NE40 3QP",Art club for all ages and abilities
Art Club - Whickham Library,,,,,,"C/o Whickham library
St. Mary's Green
Whickham
NE16 4DN",Informal group of artists engaged in painting pictures in various forms of art materials.
Art for You - Macmillan Cancer Support,,,,,,"Art for You C/O Chilli Studios
Newbridge St.
Newcastle upon Tyne
NE1 2TQ","A volunteer-led emotional support service for people affected by cancer and their carers.
We have a team of trained volunteers with a wide range of artistic skills and interests who hold art sessions once a week during term time for you to come along, try out and enjoy."
Learning Skills,,,,,,"learningSkills
The Dryden Centre Evistones Road
NE9 5UR","Thousands of adults in Gateshead participate in learning programmes provided by the Council and our partners.
Including - Art and Design - painting and drawing, pottery and ceramics, jewellary making and silversmithing, dressmaking and textiles plus many more"
Gateshead Arts Team,,,,,,,Already working with Gateshead Art Team - can promote events within their networks / Gateshead Library space also good
Sanctuary Artspace,,,,,,"St Edmund's Chapel
High Street
Gateshead
Tyne and Wear
NE8 1EP",
