Company,,,,,Website,Address,Details
NEWCASTLE,,,,,,,
Writing / Writers,,,,,,,
New Writing North,,,,,http://newwritingnorth.com,,"New Writing North supports writing and reading in the North of England. We commission new work, create development opportunities, nurture talent and make connections."
Blood Axe,,,,,http://www.bloodaxebooks.com,,"Bloodaxe Books has revolutionised poetry publishing in Britain over four decades. Internationally renowned for quality in literature and excellence in book design, our authors and books have won virtually every major literary award given to poetry"
Cuckoo Young Writers,,,,,http://www.cuckoowriters.com,,"Cuckoo Writers is where young people come to find out about writing. We run weekly writing groups, residencies and projects in the North of England. We edit Cuckoo Review and Cuckoo Chronicle. And for those further afield, we are here to provide you with all the young writers’ news and how-tos you could possibly need."
A Bit Crack,,,,,http://www.abitcrack.com,,"A Bit Crack Storytelling promotes and celebrates oral storytelling for adult audiences in the north-east of England. Run by storytellers Chris Bostock, Malcolm Green, Pascale Konyn and Pat Renton to share our delight in stories. Through regular storytelling events, projects and workshops we create platforms for audiences to enjoy the wonder of listening to a story well told."
The Writers Café,,,,,https://www.facebook.com/groups/WritersCafeNewcastle/,,"A group for writers to meet, socialise and most importantly have a comfortable, clutter-free environment to write. "
Freelance Journalist,,,,,,,
The Canny little library,,,,,,,
Anti Austerity / Poverty support,,,,,,,
People's Assembly,,,,,"http://www.thepeoplesassembly.org.uk //
https://peoplesassemblytyneandwear.wordpress.com",,"The Peoples Assembly Against Austerity (PAAA) is a non-party political movement formed to fight all government spending cuts nationally, regionally and locally in the UK. Anyone can join no matter what political party/group or trade union (if any) you belong to; if you are against cuts then you are with us!"
ACORN,,,,,https://acorntheunion.org.uk,,"ACORN is a tenants union, a community organisation, a support network, an anti-poverty organising group. Too many of us – renters, workers, families – are being treated as second class citizens. We want equality."
Leeds Poverty Truth Commission,,,,,http://www.leedspovertytruth.org.uk,,"Nothing about us, without us, is for us"
Homelessness,,,,,,,
Crisis,,,,,https://www.crisis.org.uk/get-help/newcastle/,,"Homeless charity and support, offering education, training and advice in our centre in Newcastle. "
Crisis,,,,,,,
Changing Lives,,,,,http://www.changing-lives.org.uk,,"They support people to make positive, lasting changes in their lives. Work with people experiencing homelessness, addiction and a range of other problems by reaching out in to our communities. We offer specialist support services for women and families and provide employment opportunities for our clients, all supported by our successful social enterprises."
Changing Lives,,,,,,,
Homelessness Services NCL,,,,,,,
Food / Growing,,,,,,,
North East Organic Growers,,,,,https://www.neog.org.uk/about-us,,"We're a worker's co-operative based in the village of Bomarsund, near Bedlington, twelve miles north of Newcastle upon Tyne. Existing since 1995, we grow organic vegetables on our twelve acre site, and run a ""box scheme"""
Abundant Earth,,,,,http://www.abundantearth.coop,,"We are a workers co-operative and are based on 15 acres of land near to Broom Park just outside of Durham city. We are passionate about growing and making things from the land, it's what we do; from producing a weekly vegetable box scheme, to working with wool, wood and willow through to Permaculture and woodland management."
Permaculture Network,,,,,https://www.permaculture.org.uk,,"We support our members and others in the permaculture network to design thriving communities across Britain by applying permaculture ethics and principles, and to contribute to permaculture worldwide.
Whether you are involved in gardening, farming, planning, building homes, economic regeneration, or business, using permaculture design empowers you to make the right choices for a sustainable future.
By putting ethics first and using natural systems as a model, there are simple and innovative ways to live fairly and sustainably now and in the future."
Local Food Network,,,,,,,Ruth - Freelance environmental researcher & organiser
Magic Hat Café,,,,,http://www.themagichatcafe.co.uk,,"The Magic Hat Café aims to abolish avoidable food waste by ‘upcycling’ surplus food to feed the community, and leading research and activism on food waste.
Food that would otherwise be sent to landfill is collected from local food businesses and households in and around Newcastle upon Tyne. This includes fruit and vegetables that are unattractive; bakery products that can only be sold on the day of production, surplus from food growers and end-of-line or unsold produce."
Scotswood Community Garden,,,,,https://sncg.org.uk,,"The garden works with nature to create a great place for people and wildlife to enjoy. The garden is about our community, whether in Scotswood and Benwell or the wider area, and we welcome people of all ages and backgrounds to get involved in our work. This can be as a visitor to the garden, as a member of our volunteer team, or as a participant in one of our events. We welcome you to visit and enjoy the fruits of our labours."
The Comfrey Project,,,,,http://thecomfreyproject.org.uk,,The Comfrey Project is a registered charity which works with refugees and asylum seekers on allotment sites across Newcastle and Gateshead with the aim of improving their conditions of life and general wellbeing.
Gibside Community Farm,,,,,http://gibsidecommunityfarm.co.uk,,"We aim to grow fresh, tasty, fruit and veg to nourish the soul and the soil. We are a members’ co-operative (Community Interest Company) established in 2013. We are growing fresh, tasty and seasonal fruit and veg on the Gibside National Trust estate for the local community in Derwent Valley and the surrounding area. We have 3 large plots in the walled garden at Gibside, which is a lovely space to grow in and we also have a large field (14 acres) near Burnopfield. We grow in ways that nourish people and the soil, without using chemicals or farming methods that reduce fertility, using organic principles. We would like to support people to develop their knowledge and skills in growing food so we encourage members to join in as much as possible to learn from each other."
Architecture / Planning,,,,,,,
Planning & Architecture NCL,,,,,,,
Planning & Architecture NCL,,,,,,,
Planning & Architecture Northumbria,,,,,,,
The Environment Agency,,,,,https://www.gov.uk/government/organisations/environment-agency,,
Young People,,,,,,,
SCAN,,,,,,,"SCAN stands for Student Community Action Newcastle and since the 1960s we’ve been based in the centre of Newcastle helping students and other young people access volunteering opportunities across the North East. 

SCAN today is a vibrant and lively young person led charity based at Newcastle University that aims to provide a wide variety of quality volunteering opportunities, we currently offer over 200 volunteering opportunities as well as running a successful programme of young person led projects, and one-off/taster volunteering opportunities "
Scotchy Space Pigeons,,,,,,,"Youth group who meet and learn at Scotswood community centre. Worked with Aaron and Robert on minecraft, reimaginging Scotswood project"
Space2,,,,,http://newcastleymca.com/facilities/space2/,,"Youth project in Newcastle (Pilgrim St) who support 13-21 yr old with skills, employment educationHousing etc"
Performance / Theatre,,,,,,,
Open Clasp,,,,,http://www.openclasp.org.uk,," Our unique approach and practice collaborates with women on the margins of society to create exciting theatre for personal, social and political change.

Our work is directly informed by the lived experiences of the women and young women we work with and rooted in the belief that theatre changes lives. Based in the North East of England we have a national and international reach."
Streetwise Opera,,,,,http://streetwiseopera.org,,"Streetwise Opera is an award-winning charity that uses music to help people make positive changes in their lives. Working with people who have experienced homelessness and other members of the community, we run workshop programmes across England and stage critically-acclaimed operas.

Streetwise Opera has a vibrant programme in Newcastle and Gateshead, with two weekly workshop programmes and regular performances in the area. We work in partnership with The Sage Gateshead, where our Explore Singing and Acting group is based, and many of our performers do work placements at the venue."
Jazz Coop,,,,,,"The Globe, 11 Railway Street, Newcastle NE4 7AD","Jazz.Coop aims to develop a wider appreciation of jazz and more opportunities for jazz musicians. We are well networked with arts and community organisations at local, regional and national levels and are always happy to discuss opportunities for co-operation."
