Name,Postcode,Lat/Long,Web,Tags,Contact Person,Email,Phone,Address,Notes from post it,Description from website
Abundant Earth,DH7 7RL,,http://www.abundantearth.coop/,,Wilf Pickards?,abundantearth.durham@gmail.com,,"Cookes west wood farm, Broompark, Durham",permaculture training coop,Here at Abundant Earth we are committed to making a change to the world around us. Whether that be by providing vegetables for families around Durham city or through our activities as craftworkers and teachers. The land we work is at the heart of what we do.
Stepney Bank Stables,NE1 2NP,,https://www.stepneybank.co.uk/,,,hello@stepneybank.co.uk,0191 261 5544,Stepney Bank,"work with groups through horses, local children, horse riding as reward for cleaning stables","Stepney Bank Stables is committed to making horses accessible to the whole community. By actively promoting progress we aim to raise aspirations, boost self esteem and develop skills which allow all of our volunteers to realise their potential. We believe that every young person involved in our project has the potential to achieve success and flourish. We value diversity and celebrate individuality in our young people and we have found that with a consistent, fair and positive approach, our service users can learn self-discipline, responsibility, co-operation and problem solving skills which not only will improve their confidence and self worth but also their employability."
Friends Action North East (FANE),NE1 2PA,,https://www.friendsaction.co.uk/,,Sara or Sally (Project Managers),info@friendsaction.co.uk,0191 231 4327,"Ouseburn Road, Newcastle",friendship group for people with learning disabilities,"FANE was established in 2004, is based in Newcastle upon Tyne and the sole purpose of our team is to help adults in the North East of England with learning disabilities to make and keep friends. FANE champions friendship, raising expectations and creating opportunities to do ordinary things."
Ouseburn Farm,NE1 2PA,,https://www.ouseburnfarm.org.uk/,,,admin@ouseburnfarm.org.uk,0191 232 3698,"Ouseburn Road, Newcastle upon Tyne","urban community farm, training","A not-for-profit charity based right in the heart of Newcastle upon Tyne.  Come visit​ our award-winning, environmentally friendly building, and spend time with our pigs, sheep, goats, chickens, rabbits, guinea pigs, lizards, tortoises, meadows, ponds and woodlands. As well as being a visitor attraction, we also offer training for vulnerable adults, volunteering opportunities for local people and a range of activities for families and schoolchildren​. Our nearby workshop provides some of these training opportunities and our pre-loved warehouse diverts unwanted furniture from landfill, in keeping with our sustainable ethos."
Chilli Studios,NE1 2TQ,,https://www.chillistudios.co.uk/,,Bob Malpiedi (Studio Manager),info@chillistudios.co.uk,0191 209 4058,"Blackfriars Hall, New Bridge St, Newcastle upon Tyne","chilli seed model, mental health problems through art and music, support people to set up own business","Providing creative-based services for people with mental health problems, promote social inclusion, encourage social interaction, build resilience, develop skills and ability and enable potential. We are a charitable organisation running a user-led creative studio service (including disciplines across visual arts, music and performance) four days a week for Newcastle and Gateshead residents. Our studio provides a clear pathway for recovery for those suffering the effects of, or at risk of experiencing mental health issues."
Alphabetti Theatre,NE1 4HP,,https://www.alphabettitheatre.co.uk/,,,,,"St James Boulevard, Newcastle Upon Tyne",,"We create, produce, and programme new, original work from emerging artists across the performing arts, championing work in Music, Theatre, Comedy and Poetry. We strive to make theatre that is relatable and accessible to all, and are constantly looking for new ways to challenge ourselves, physically, mentally and conceptually – we believe that by challenging ourselves we inevitably challenge the audience, creating engaging and original experiences."
ACORN Newcastle,NE1 6SQ,,https://www.facebook.com/acornnewcastle/,,,,,"Alderman Fenwick's House, 98-100 Pilgrim Street, Newcastle upon Tyne",Housing union - citywide,"We are a community union and grassroots social justice movement, organised and united for social change. NE region of ACORN UK."
ReCoCo Recovery College Collective,NE1 6XA,,http://www.recoverycoco.com/,,,info@recoverycoco.com,0191 261 0948,"Anderson House, Market Street, Newcastle upon Tyne","creative writing, mindfulness, anyone recovering from addictions","Our aims are: To provide a peer led, peer delivered education and support service where people can learn from each other’s insights, skills and lived experience; To nurture a community of warriors and survivors towards a sense of belonging and acceptance for who, what and how they are; To enable connection and friendship; To provide opportunities that allow students to aspire to be their best selves; Identifying and recognising their innate strengths and talents and their ability to help others; To promote recovery through peer led education and other peer led activities; To provide a focus for peer leadership, peer support and recovery orientated practice; To be directed by people who use (or have used) mental health services; To enable collaboration between mental health service providers and organisations that support these aims."
The Kittiwake Trust Multi-Ligual Library (Borderline Books),NE1 7RA,,http://www.multilinguallibrary.org.uk/,,,kittiwake@multilinguallibrary.org.uk,0777 668 4940,"Eldon Garden Shopping Centre, Percy Street, Newcastle upon Tyne",multilingual library,"The objectives of The Kittiwake Trust are: To advance education for the public benefit including by donations of books and other items to not-for-profit organisations and school libraries, a multilingual library and support of other projects in such ways as the trustees see fit."
Edberts House,NE10 9AE,,http://www.edbertshouse.org/,,Sarah Gorman – Chief Executive Officer (suggested by Ben Jones),sarah@edbertshouse.org,,"7-19 St Edmund's Dr, Gateshead ",community org,"Edberts House is all about empowering and connecting. Connecting us to one another; connecting us to support that we need and connecting our community and the services around us together more effectively, so we can make our area an even better place to live. Each community project is developed, planned and run by a group of local people who make decisions together. We encourage everyone to reach their full potential, providing facilities and activities that enrich our community life."
