"id","name","address[a]","address[b]","address[c]","address[d]","address[e]","address[a1]","email","phone","website","facebook","twitter","hours[SQ001]","hours[SQ001comment]","hours[SQ002]","hours[SQ002comment]","hours[SQ003]","hours[SQ003comment]","hours[SQ004]","hours[SQ004comment]","hours[SQ005]","hours[SQ005comment]","hours[SQ006]","hours[SQ006comment]","hours[SQ007]","hours[SQ007comment]","contactName","contactDetails","description","values[SQ001]","values[SQ002]","values[SQ003]","values[SQ004]","values[SQ005]","structure[SQ001]","structure[SQ002]","structure[SQ003]","structure[SQ004]","structure[SQ005]","structure[SQ006]","structure[SQ007]","structure[SQ008]","structure[SQ009]","structure[SQ010]","structure[SQ011]","structure[SQ012]","activity","secondaryActivities[SQ002]","secondaryActivities[SQ003]","secondaryActivities[SQ004]","secondaryActivities[SQ005]","secondaryActivities[SQ006]","secondaryActivities[SQ007]","secondaryActivities[SQ008]","secondaryActivities[SQ009]","secondaryActivities[SQ010]","secondaryActivities[SQ011]","secondaryActivities[SQ012]","secondaryActivities[SQ013]","network","websiteConsent"
"8","Transition by Design","Makespace Oxford","1 Aristotle Ln","","Oxford","OX2 6TP","","charlie@transitionbydesign.org","07816294678","www.transitionbydesign.org","https://www.facebook.com/transitionbydesign/","https://twitter.com/transitionbyd","Yes","9am - 5pm","Yes","9am - 5pm","Yes","9am - 5pm","Yes","9am - 5pm","Yes","9am - 5pm","N/A","","N/A","","Andy Edwards","andy@transitionbydesign.org","Oxford based architecture & design cooperative. Specialising in green architecture, Passivhaus, community-led housing, participatory design and meanwhile use.","Yes","Yes","Yes","Yes","Yes","N/A","Yes","Yes","N/A","N/A","Yes","N/A","N/A","N/A","N/A","Yes","N/A","Community & Collective Spaces","N/A","N/A","N/A","N/A","Yes","Yes","N/A","Yes","Yes","Yes","N/A","N/A","CAG network, Co-ops UK, Oxford Co-op Meetups, NEON","Yes"
"9","The Children's Allotment","East Ward Allotments","Cricket Road","","Oxford","OX43DJ","","info@thechildrensallotment.org","","http://thechildrensallotment.org/","https://www.facebook.com/pg/childrensallotment/about/?ref=page_internal","","No","","No","","No","","No","","No","","No","","No","","Alice Hemming","info@thechildrensallotment.org","We are a community group creating an inclusive outdoor education space for the local community in the East Ward Allotments on Cricket Rd. Our focus is on providing cooperative childcare, outdoor learning and growing for families and children.


 

.","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","Community & Collective Spaces","No","No","No","Yes","No","Yes","No","No","No","No","Yes","No","CAG, Phoenix Education Trust's network","Yes"
"10","Tandem Collective","","","","Oxford","OX4 ","","nina@tandemcollective.org","07791807243","www.tandemcollective.org ","https://www.facebook.com/tandemfestival","https://twitter.com/tandemfest/","No","","No","","No","","No","","No","","No","","No","","Nina Brown","nina@tandemcollective.org","Tandem Collective believes the arts have a powerful role to play in enacting positive change on social and environmental issues. Tandem has grown out of a network of committed volunteers who came together to create the first Tandem Festival in 2014. Tandem is now an organisation reaching beyond the festival to create and facilitate inspiring, nourishing and developmental events and activities throughout the year.

Tandem Collective manages a wide range of events and collaborative projects that fuse volunteering opportunities, workshops, talks and skill-sharing with creative mediums including music, art, theatre, literature, cinema and dance. Our key projects are Ethno England, Tandem Skills Camp, InTandem with…, InTandem Publications and Tandem Festival. Tandem facilitates collaborations between artists, researchers, activists and campaign groups on local, national and international scales.","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","Arts, Media, Culture & Leisure","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","CAGs
http://www.powerful-thinking.org.uk
https://www.seasonforchange.org.uk
https://www.juliesbicycle.com
http://www.abingdon-witney.ac.uk

","Yes"
"12","CAG Project","Makespace","1 Aristotle Lane","","Oxford","OX2 6TP","","info@cagoxfordshire.org.uk","07903037428","www.cagoxfordshire.org.uk","https://www.facebook.com/CAGoxfordshire/","https://twitter.com/CAGOxfordshire","Yes","9-5","Yes","9-5","Yes","9-5","Yes","9-5","Yes","9-5","No","","No","","Rhiannon Colvin","rhiannon.colvin@resourcefutures.co.uk","CAG Oxfordshire is a network of voluntary groups and community led businesses working together to improve the wellbeing of people and the environment within Oxfordshire. ","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Nature, Conservation & Environment","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","","Yes"
"13","Broken Spoke Bike Co-op","St Thomas School","Osney Lane","","Oxford","OX1 1NJ","","info@bsbcoop.org","07551711746","www.bsbcoop.org","@BrokenSpokeBikeCoop","@BrokenSpokeCoop","Yes","11:00 - 17:00","Yes","08:00 - 18:00","No","","Yes","11:00 - 17:00","Yes","11:00 - 17:00","Yes","10:00 - 19:00","Yes","14:00 - 18:00","Caitlin Bartlett","07891210411","The Broken Spoke Bike Co-op is a community business that aims to create an open, inclusive, collaborative and environmentally aware fixing & cycling community in Oxford(shire) by enabling people from all backgrounds to fix and ride cycles.","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Community & Collective Spaces","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","Yes","","Yes"
"15","Talking Shop","Talking Shop, The Village Hall","Henley Rd","","Sandford-on-Thames","OX4 4YN","","richard.talkingshop@gmail.com","07305307421","http://www.sandfordtalkingshop.org/","https://www.facebook.com/TalkingShopSandford/?ref=bookmarks","","Yes","9.30am-5pm","Yes","9.30am-5pm","Yes","9.30am-5pm","Yes","9.30am-5pm","Yes","9.30am-5pm","Yes","9am-12","No","","Richard Howlett","07960465594","We are a community volunteer group based at Sandford-on-Thames' Village Hall. 
We run a cafe, convenient shop & community activities in our bright airy space.
We've got car parking, a lovely garden and a gate straight into the playground. 
We also have a volunteer bike mechanic team ​& a Good Neighbour network who match up volunteers offering support, lifts, companionship, with residents in need.","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Food","Yes","No","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","Community Action Groups (CAG) network
Oxfordshire Community Shops Network","Yes"
"18","Free West Papua Campaign","Free West Papua Campaign","Old Music Hall","106-108 Cowley Road","Oxford ","OX4 1JE","","office@freewestpapua.org"," +44 (0) 1865 403 202","www.freewestpapua.org","http://www.facebook.com/freewestpapua","http://www.twitter.com/freewestpapua","No","","No","","No","","No","","No","","No","","No","","Campaign Co-ordinator","07973 953 446 (Andrew Wood)","The Free West Papua Campaign was launched in 2004 in Oxford, UK. We are a peaceful, public campaign, whose aim is very simple: to give the people of West Papua the freedom to choose their own destiny through a fair and transparent referendum – a freedom they have always been denied. We work with politicians of all parties, and also with other NGOs and campaign groups, both national and international, towards this aim.

We have no religious, party-political or corporate affiliations, and we are determinedly non-violent. Our funding comes from donations, the sale of merchandise, public fundraising events and occasional grants from charitable foundations.","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Campaigning, Activism & Advocacy","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","No","We have grown from being a volunteer organisation through to having permanent offices in Oxford (UK), The Hague (Netherlands), Port Moresby (Papua New Guinea) and Perth (Australia). We are a group of people from human rights, political and environmental backgrounds, a number of whom are West Papuans or have spent time in West Papua. Our leadership comes from West Papuan representatives internationally, and in West Papua itself.

For contact details of offices outside the UK please see our website: http://www.freewestpapua.org","Yes"
"20","Oxford Stand Up To Racism","","","","","","We don't have a physical address","contact@oxfordstanduptoracism.org.uk","07890081211","oxfordstanduptoracism.org.uk","https://www.facebook.com/OSUTR/","OxSUTR","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Julie Simmons","07890081211","We are witnessing an unprecedented growth in racism, racist attacks and far right activity.  We aim to mobilse people in protests and campaigns against Islamophobia, antisemitism and racism.  We say Black Lives Matter and oppose the racist scapegoating of migrants and refugees.  We mobilise against fascists whenever they raise their heads.","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Campaigning, Activism & Advocacy","No","No","No","No","No","No","No","No","No","No","No","No","We have support from local trade union organisations and work with other campaign groups in campaigns where we share the same aim.","Yes"
"22","East Oxford Famers' & Comunity Market","East Oxford Primary School","32A Union Street","","Oxford","OX4 1JP","This is the address where the market is held","eastoxfordmarket@gmail.com","07920054888 (c/o Booking Coordinator)","www.eastoxfordmarket.org.uk","@EastOxfordMarket","@EastOxMarket","No","","No","","No","","No","","No","","Yes","10am to 1pm","No","","Elise Benjamin, Bookings Coordinator","07920054888","East Oxford Farmers' & Community Market started in August 2006 and is a non-profit Community Benefit Society run by a committee and a group of volunteers.
The market is a provides food staples such as bread, eggs, milk, vegetables, cheese, meats, as well as dried foods, other food products, and a café. The market also provides refills for cleaning supplies as well as non food items such as jewellery, clothing, books, antiques, and plastic free products. Most food producers are from within 30 miles of Oxford and the market also includes local small businesses. The market is wheelchair accessible both inside and outside.","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Food","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Oxford Community Markets - www.ocmarkets.org","Yes"
"24","Aspire Oxfordshire","St Thomas School","Osney Lane","","Oxford","OX1 1NJ","","info@aspireoxford.co.uk","01865 204450","www.aspireoxfordshire.org","www.facebook.com/AspireOxOnline","@Aspireoxford","Yes","0800:-17:00","Yes","0800:-17:00","Yes","0800:-17:00","Yes","0800:-17:00","Yes","0800:-17:00","No","","No","","Paul Roberts","paulroberts@aspireoxford.co.uk","Aspire is a multi-award-winning employment charity and social enterprise. We exist to help vulnerable people who are homeless, long-term unemployed, ex-offenders, people in recovery or those with poor mental well-being to move into the world of work. We give them work experience on our own enterprise businesses and the person-centred support they need to make their own lasting change.","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Health, Social Care & Wellbeing","No","No","Yes","Yes","No","No","Yes","No","No","No","No","Yes","Oxfordshire Social Entrepreneurship Partnership (OSEP), Oxfordshire Charity Leaders' Forum","Yes"
"25","Botley community fridge","81 West Way","","","Oxford","OX2 9LY","","riki@phonecoop.coop","","foodforcharities.org.uk","https://www.facebook.com/Botley-Community-Fridge-1794227194237734/","","Yes","10-4","Yes","10-4","Yes","10-4","Yes","10-4","Yes","10-4","Yes","10-4","Yes","11-4","Riki Therivel","riki@phonecoop.coop","The Botley community fridge is a fridge in St. P&P church, into which anyone can put food and from which anyone can take food.  Mostly the food is surplus food from supermarkets that is picked up by volunteers, and the food is taken by people in need including many rough sleepers.  It's a win-win: environmental and social.  There is shelving next to the fridge with non-perishables that are donated by several food banks, who see the fridge as serving the same clientele that they would normally serve.","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","Food","No","No","No","No","No","No","No","No","No","No","Yes","No","Oxfordshire Community Action Groups
Hubbub community fridge group","Yes"
"26","Leys community fridge","Blackbird Leys community centre","Blackbird Leys Road","","Oxford","OX4 6HW","","riki@phonecoop.coop","","www.foodforcharities.org.uk","","","Yes","9-3","Yes","9-3","Yes","9-3","Yes","9-3","Yes","9-3","No","","No","","Riki Therivel","riki@phonecoop.coop","The Leys community fridge is a fridge in the Blackbird Leys community centre into which anyone can put food, and from which anyone can take food.  In practice, most of the food comes from one large supermarket, and is brought to the fridge by volunteers in their private cars.  The fridge provides fresh fruit, vegetables, bread/pastries, dairy products and eggs for free to residents of the most deprived estate in Oxford.  It is a win-win: it reduces food waste and provides food to people who can really use it.","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","Food","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Community Action Group
Oxford City Council","Yes"
"27","Rose Hill and Iffley Low Carbon (RHILC)","Rose Hill Community Centre","Carole’s Way","Rose Hill","Oxford","OX4 4HF","","rosehill.iffley.low.carbon@gmail.com","077450024363","","Facebook.com/rosehillandiffleylowcarbon","@RHandILowCarbon","Yes","3-8 pm","Yes","3-8 pm","Yes","3-8 pm","Yes","3-8 pm","Yes","3-8 pm","Yes","3-8 pm","Yes","3-8 pm","Eleanor Watts","watts.eleanor@yahoo.co.uk","Rose Hill and Iffley Low Carbon is a Community Action Group that works with others to reduce the carbon footprint of our area and to make it more sustainable. We have worked with the organisations in brackets to: install 190 solar panels on Rose Hill Community Centre (OCC: Oxford City Council), solar PV and battery storage on 76 social homes in Rose Hill (Bioregional and OCC),  solar PV and battery storage on Rose Hill Primary School (Low Carbon Hub), a cycle repair kit (Low Carbon Hub and OCC) and  we run local bike repair workshops (Broken Spoke). We work closely with Rose Hill Primary School to plant trees, conduct assemblies and facilitate education about climate change. We organise Repair Cafes where people can get electrical goods, clothes and bikes mended for free (in cooperation with Rose Hill Community Centre). Wa also organise regular talks, workshops and films to raise awareness of particular aspects of sustainability on One Planet Living principles. Over the past five years, we have thermally imaged over 150 houses to check where heat is leaking out and advise on economic ways to insulate homes (assisted by CAG, the Low Carbon Hub and Bioregional). We are about to cooperate with 'Cosy Homes Oxfordshire' in providing expert insulation advice for individual house-holders. We are also exploring the possibility of heating Rose Hill homes with waste heat from Sainsbury's cooling systems (through Bioregional and OCC).","Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","Energy","N/A","Yes","Yes","Yes","Yes","Yes","N/A","Yes","Yes","N/A","Yes","Yes","We are a part of the Community Action Group (CAG) Network, through which we cooperate with other CAGs, in particular LEAF Florence Park, Low Carbon East Oxford, Low Carbon Oxford North, Low Carbon West Oxford, We are members of the Low Carbon Hub CIC and actively promote  their share offers in renewable energy (solar PV on schools and Sandford and Osney Lock Hydro). We recently had training in One Planet Living from Bioregional and we won funding for them to train the teachers at Rose Hill Primary School in One Planet Living principles. The City Council has been very supportive of our group over many initiatives. We are currently working with them on: 1)  fabric first, low carbon design standards for the new flats at The Oval 2) cycle racks in Iffley Village 3) a heat network using waste heat from Sainsbury's coolers. We participate in working parties with BBOWT at our local Rivermead Nature Reserve. We collaborated with Cyclox on our Cycling Festival in June 2018 and our petition for segregated, continuous  cycle lanes into the city centre (which gained 1986 signatures).","Yes"
"28","OSEP CIC","1 Aristotle Lane","","","Oxford ","OX2 6TP","This is the registered office and not used as an office","info@osep.org.uk","","www.osep.org.uk","","@OSEPOX","Yes","","Yes","","Yes","","Yes","","Yes","","N/A","","N/A","","Grant Hayward","grant@collaborent.co.uk","OSEP is a support organisation for Social Enterprise and other organisations making positive social and environmental impact. It has been established as a Community Interest Company by local social entrepreneurs with the support of both Oxford universities and other key local and national stakeholders. ","N/A","Yes","Yes","Yes","Yes","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","Campaigning, Activism & Advocacy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Member of Social Enterprise UK, working closely with other local orgs such as CAG and LCH etc","Yes"
"31","African Families in the UK (AFiUK) and WOW Space (Women Of the World)","Blackbird Leys Library","Blackbird Leys Rd","","Oxford","OX4 6HT","","africanfamiliesintheuk@gmail.com","07921462949","www.africanfamiliesintheuk.co.uk","https://www.facebook.com/africansinUK/","@AfricansinUK","N/A","","N/A","","Yes","4:00 - 5:00pm - Homework Club","N/A","","Yes","11:00 - 2:30pm - WOW Space ","N/A","","N/A","","Jacqui Gitau","07921 462949 / africanfamiliesintheuk@gmail.com","A community Interest Company  offering Training, Information, Support, and Advocacy in Health, Social Care, and Education; to third culture British African children and their families.  These services are extended to other newly arrived migrant families.  We run periodic cross cultural parenting courses for parents, as well as a weekly Women's group offering training in healthy family relationships and female wellbeing targeting BAMER women.
","Yes","N/A","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","Health, Social Care & Wellbeing","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","Yes"
"35","Oxford wood Recycling","4, Suffolk Way","","","Abingdon","OX14 5JX","","info@owr.org.uk","01235 861228","www.owr.org.uk","Oxford Wood Recycling","@OxfordWood","Yes","0830-1700","Yes","0830-1700","Yes","0830-1700","Yes","0830-2000","Yes","0830-1700","Yes","0900-1500","N/A","","Richard Snow","richard@owr.org.uk","Oxford Wood Recycling was established in 2005 as a social enterprise to address the sustainability issues surrounding wood waste management in the UK whilst providing employment opportunities for people facing disadvantages to re-enter the workplace. Today OWR is best known as an inspirational place to visit in Abingdon for reclaimed timber for DIY and other interesting finds. The organisation has consistently grown,  currently making 1800 wood waste collections a year and reclaiming 300 tonnes of wood for reuse. OWR is a provider of employment services and employment for people with disabilities.

.","Yes","Yes","Yes","Yes","Yes","N/A","N/A","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Reduce, Reuse, Repair & Recycle","N/A","N/A","N/A","N/A","N/A","N/A","Yes","Yes","N/A","N/A","Yes","N/A","Member of the Community Wood Recycling Projects Network  (NCWRP)
Fellow of School for Social Entrepreneurs.
Disability Confident Employer

","Yes"
"36","Oxford SU LGBTQ+ Campaign","","","","","OX1 ","We do not have a physical address","lgbtq-chair@oxfordsu.ox.ac.uk","","https://www.oxfordsu.org/campaigns/lgbtq/","https://www.facebook.com/lgbtqoxford/","https://twitter.com/OxfordSU_LGBTQ","No","","No","","No","","No","","No","","No","","No","","Henna Khanom","lgbtq-chair@oxfordsu.ox.ac.uk","The LGBTQ+ Campaign is the political campaigning arm of Oxford’s queer community. We frequently work alongside the Student Union, LGBTQ+ college reps, and the OU LGBTQ+ Society. We have officers for the majority of the specific identities and intersections of the LGBTQ+ umbrella. We are also keen to work with LGBTQ+ community activist groups based in Oxford. If this is you, please feel free to email us. 

Oxford SU LGBTQ+ Campaign takes a very active role in student life: We oversee the organisation of LGBTQ+ 101 workshops at approximately half of Oxford colleges. We engage in a broad range of events, including protests and demonstrations, engaging with the local community and hosting talks, panel discussions, round tables, social events, and photo campaigns. We also work with the University's and colleges' administration to improve the lives of LGBTQ+ students. 

One of Campaign’s current priorities is fighting transphobia and improving the living and working conditions of transgender students in Oxford. We have conducted a trans survey based on which we are working towards changing policies at both a university and college level to tackle hate speech both broadly and pertaining to specific LGBTQ+ identities.
Feel free to get in contact with us at lgbtq-chair@oxfordsu.ox.ac.uk or by messaging the Facebook page.","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Campaigning, Activism & Advocacy","No","Yes","No","Yes","No","No","No","No","No","No","No","No","","Yes"
