"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","name","address[a]","address[b]","address[c]","address[d]","address[e]","address[a1]","email","phone","website","facebook","twitter","hours[SQ001]","hours[SQ001comment]","hours[SQ002]","hours[SQ002comment]","hours[SQ003]","hours[SQ003comment]","hours[SQ004]","hours[SQ004comment]","hours[SQ005]","hours[SQ005comment]","hours[SQ006]","hours[SQ006comment]","hours[SQ007]","hours[SQ007comment]","contactName","contactDetails","description","values[SQ001]","values[SQ002]","values[SQ003]","values[SQ004]","values[SQ005]","structure[SQ001]","structure[SQ002]","structure[SQ003]","structure[SQ004]","structure[SQ005]","structure[SQ006]","structure[SQ007]","structure[SQ008]","structure[SQ009]","structure[SQ010]","structure[SQ011]","structure[SQ012]","activity","secondaryActivities[SQ002]","secondaryActivities[SQ003]","secondaryActivities[SQ004]","secondaryActivities[SQ005]","secondaryActivities[SQ006]","secondaryActivities[SQ007]","secondaryActivities[SQ008]","secondaryActivities[SQ009]","secondaryActivities[SQ010]","secondaryActivities[SQ011]","secondaryActivities[SQ012]","secondaryActivities[SQ013]","network","websiteConsent","contactConsent","suggestedInitiatives","interviewtime","groupTime9","nameTime","addressTime","emailTime","phoneTime","websiteTime","facebookTime","twitterTime","hoursTime","contactNameTime","contactDetailsTime","groupTime10","descriptionTime","valuesTime","structureTime","activityTime","secondaryActivitiesTime","networkTime","groupTime11","websiteConsentTime","contactConsentTime","suggestedInitiativesTime"
"8","2019-04-08 13:43:00","3","en","","2019-04-08 13:38:00","2019-04-08 13:43:00","Transition by Design","Makespace Oxford","1 Aristotle Ln","","Oxford","OX2 6TP","","info@transitionbydesign.org","01865554927","www.transitionbydesign.org","https://www.facebook.com/transitionbydesign/","@TransitionbyD","Yes","9:00 - 17:00","Yes","9:00 - 17:00","Yes","9:00 - 17:00","Yes","9:00 - 17:00","Yes","9:00 - 17:00","N/A","","N/A","","Andy Edwards or Alex Towler","andy@transitionbydesign.org / alex@transitionbydesign.org","Oxford based architecture & design cooperative. Specialising in green architecture, Passivhaus, community-led housing, participatory design and meanwhile use.","Yes","Yes","Yes","Yes","Yes","N/A","Yes","Yes","N/A","Yes","Yes","N/A","N/A","N/A","N/A","Yes","N/A","Community & Collective Spaces","N/A","N/A","N/A","N/A","Yes","Yes","N/A","Yes","Yes","Yes","N/A","N/A","CAG network, Co-ops UK, Oxford Co-op Meetups, NEON","Yes","Yes","","272.59","83.22","","","","","","","","","","","181.48","","","","","","","7.89","","",""
"9","2019-04-08 15:42:00","3","en","","2019-04-08 15:35:00","2019-04-08 15:42:00","The Children's Allotment","East Ward Allotments","Cricket Road","","Oxford","OX4 3DJ","","info@thechildrensallotment.org","","http://thechildrensallotment.org/","https://www.facebook.com/childrensallotment/","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Alice Hemming","info@thechildrensallotment.org","We are a community group creating an inclusive outdoor education space for the local community in the East Ward Allotments on Cricket Rd. Our focus is on providing cooperative childcare, outdoor learning and growing for families and children.


 

.","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","Community & Collective Spaces","N/A","N/A","N/A","Yes","N/A","Yes","N/A","N/A","N/A","N/A","Yes","N/A","CAG, Phoenix Education Trust's network","Yes","Yes","","464.59","235.16","","","","","","","","","","","218.12","","","","","","","11.31","","",""
"10","2019-04-08 17:18:00","3","en","","2019-04-08 17:06:00","2019-04-08 17:18:00","Tandem Collective","","","","Oxford","OX4 ","","nina@tandemcollective.org","07791807243","www.tandemcollective.org ","https://www.facebook.com/tandemfestival","@TandemFest","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Nina Brown","nina@tandemcollective.org","Tandem Collective believes the arts have a powerful role to play in enacting positive change on social and environmental issues. Tandem has grown out of a network of committed volunteers who came together to create the first Tandem Festival in 2014. Tandem is now an organisation reaching beyond the festival to create and facilitate inspiring, nourishing and developmental events and activities throughout the year.

Tandem Collective manages a wide range of events and collaborative projects that fuse volunteering opportunities, workshops, talks and skill-sharing with creative mediums including music, art, theatre, literature, cinema and dance. Our key projects are Ethno England, Tandem Skills Camp, InTandem with…, InTandem Publications and Tandem Festival. Tandem facilitates collaborations between artists, researchers, activists and campaign groups on local, national and international scales.","Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","Arts, Media, Culture & Leisure","N/A","Yes","Yes","Yes","Yes","Yes","N/A","Yes","N/A","N/A","Yes","Yes","CAGs
http://www.powerful-thinking.org.uk
https://www.seasonforchange.org.uk
https://www.juliesbicycle.com
http://www.abingdon-witney.ac.uk

","Yes","Yes","","719.66","149.92","","","","","","","","","","","503","","","","","","","66.74","","",""
"12","2019-04-10 10:08:00","3","en","","2019-04-10 09:51:00","2019-04-10 10:08:00","CAG Project","Makespace","1 Aristotle Lane","","Oxford","OX2 6TP","","info@cagoxfordshire.org.uk","07903037428","www.cagoxfordshire.org.uk","https://www.facebook.com/CAGoxfordshire","@CAGOxfordshire","Yes","9-5","Yes","9-5","Yes","9-5","Yes","9-5","Yes","9-5","N/A","","N/A","","Rhiannon Colvin","rhiannon.colvin@resourcefutures.co.uk","CAG Oxfordshire is a network of voluntary groups and community led businesses working together to improve the wellbeing of people and the environment within Oxfordshire. ","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","Nature, Conservation & Environment","Yes","Yes","Yes","Yes","Yes","Yes","N/A","Yes","Yes","N/A","N/A","Yes","","Yes","Yes","","1040.73","620.44","","","","","","","","","","","401.47","","","","","","","18.82","","",""
"13","2019-04-10 12:49:00","3","en","","2019-04-10 12:36:00","2019-04-10 12:49:00","Broken Spoke Bike Co-op","St Thomas School","Osney Lane","","Oxford","OX1 1NJ","","info@bsbcoop.org","07551711746","www.bsbcoop.org","https://www.facebook.com/BrokenSpokeBikeCoop","@BrokenSpokeCoop","Yes","11:00 - 17:00","Yes","08:00 - 18:00","N/A","","Yes","11:00 - 17:00","Yes","11:00 - 17:00","Yes","10:00 - 19:00","Yes","14:00 - 18:00","Caitlin Bartlett","07891210411","The Broken Spoke Bike Co-op is a community business that aims to create an open, inclusive, collaborative and environmentally aware fixing & cycling community in Oxford(shire) by enabling people from all backgrounds to fix and ride cycles.","Yes","Yes","Yes","Yes","Yes","N/A","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","Community & Collective Spaces","N/A","Yes","Yes","Yes","N/A","N/A","Yes","Yes","N/A","N/A","Yes","Yes","","Yes","Yes","","808.18","414.52","","","","","","","","","","","339.1","","","","","","","54.56","","",""
"15","2019-04-10 16:34:00","3","en","","2019-04-10 16:20:00","2019-04-10 16:34:00","Talking Shop","The Village Hall","Henley Road","","Sandford-on-Thames","OX4 4YN","","richard.talkingshop@gmail.com","07305307421","http://www.sandfordtalkingshop.org/","https://www.facebook.com/TalkingShopSandford","@TalkingShopSand","Yes","9.30am-5pm","Yes","9.30am-5pm","Yes","9.30am-5pm","Yes","9.30am-5pm","Yes","9.30am-5pm","Yes","9am-12","N/A","","Richard Howlett","07960465594","We are a community volunteer group based at Sandford-on-Thames' Village Hall. 
We run a cafe, convenient shop & community activities in our bright airy space.
We've got car parking, a lovely garden and a gate straight into the playground. 
We also have a volunteer bike mechanic team ​& a Good Neighbour network who match up volunteers offering support, lifts, companionship, with residents in need.","N/A","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","Food","Yes","N/A","Yes","Yes","N/A","N/A","Yes","N/A","N/A","N/A","Yes","Yes","Community Action Groups (CAG) network
Oxfordshire Community Shops Network","Yes","Yes","","876.52","395.16","","","","","","","","","","","425.79","","","","","","","55.57","","",""
"18","2019-04-17 20:07:00","3","en","","2019-04-17 19:58:00","2019-04-17 20:07:00","Free West Papua Campaign","Free West Papua Campaign","The Old Music Hall","106 - 108 Cowley Road","Oxford ","OX4 1JE","","office@freewestpapua.org","01865403202","www.freewestpapua.org","http://www.facebook.com/freewestpapua","@FreeWestPapua","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Campaign Co-ordinator","07973 953 446 (Andrew Wood)","The Free West Papua Campaign was launched in 2004 in Oxford, UK. We are a peaceful, public campaign, whose aim is very simple: to give the people of West Papua the freedom to choose their own destiny through a fair and transparent referendum – a freedom they have always been denied. We work with politicians of all parties, and also with other NGOs and campaign groups, both national and international, towards this aim.

We have no religious, party-political or corporate affiliations, and we are determinedly non-violent. Our funding comes from donations, the sale of merchandise, public fundraising events and occasional grants from charitable foundations.","Yes","Yes","Yes","Yes","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Campaigning, Activism & Advocacy","Yes","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","We have grown from being a volunteer organisation through to having permanent offices in Oxford (UK), The Hague (Netherlands), Port Moresby (Papua New Guinea) and Perth (Australia). We are a group of people from human rights, political and environmental backgrounds, a number of whom are West Papuans or have spent time in West Papua. Our leadership comes from West Papuan representatives internationally, and in West Papua itself.

For contact details of offices outside the UK please see our website: http://www.freewestpapua.org","Yes","Yes","Network for Clean Air ...","543.17","326.62","","","","","","","","","","","189.95","","","","","","","26.6","","",""
"20","2019-04-22 15:24:00","3","en","","2019-04-22 15:05:00","2019-04-22 15:24:00","Oxford Stand Up To Racism","","","","","","We don't have a physical address","contact@oxfordstanduptoracism.org.uk","07890081211","http://oxfordstanduptoracism.org.uk/","https://www.facebook.com/OSUTR/","@OxfordSUTR","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Julie Simmons","07890081211","We are witnessing an unprecedented growth in racism, racist attacks and far right activity.  We aim to mobilse people in protests and campaigns against Islamophobia, antisemitism and racism.  We say Black Lives Matter and oppose the racist scapegoating of migrants and refugees.  We mobilise against fascists whenever they raise their heads.","Yes","Yes","N/A","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Campaigning, Activism & Advocacy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","We have support from local trade union organisations and work with other campaign groups in campaigns where we share the same aim.","Yes","Yes","Local trade union branches.","1130.87","438.49","","","","","","","","","","","655.8","","","","","","","36.58","","",""
"22","2019-04-22 20:05:00","3","en","","2019-04-22 19:43:00","2019-04-22 20:05:00","East Oxford Famers' & Comunity Market","East Oxford Primary School","32A Union Street","","Oxford","OX4 1JP","This is the address where the market is held","eastoxfordmarket@gmail.com","07920054888 (c/o Booking Coordinator)","https://www.eastoxfordmarket.org.uk/","https://www.facebook.com/EastOxfordMarket/","@EastOxMarket","N/A","","N/A","","N/A","","N/A","","N/A","","Yes","10:00 - 13:00","N/A","","Elise Benjamin, Bookings Coordinator","07920054888","East Oxford Farmers' & Community Market started in August 2006 and is a non-profit Community Benefit Society run by a committee and a group of volunteers.
The market is a provides food staples such as bread, eggs, milk, vegetables, cheese, meats, as well as dried foods, other food products, and a café. The market also provides refills for cleaning supplies as well as non food items such as jewellery, clothing, books, antiques, and plastic free products. Most food producers are from within 30 miles of Oxford and the market also includes local small businesses. The market is wheelchair accessible both inside and outside.","Yes","Yes","Yes","Yes","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","Food","Yes","Yes","Yes","Yes","N/A","N/A","Yes","Yes","N/A","N/A","Yes","Yes","Oxford Community Markets - www.ocmarkets.org","Yes","Yes","","1320.02","456.86","","","","","","","","","","","838.82","","","","","","","24.34","","",""
"24","2019-04-22 20:48:00","3","en","","2019-04-22 20:43:00","2019-04-22 20:48:00","Aspire Oxfordshire","St Thomas School","Osney Lane","","Oxford","OX1 1NJ","","info@aspireoxford.co.uk","01865204450","https://www.aspireoxfordshire.org/","https://www.facebook.com/AspireOxOnline","@Aspireoxford ","Yes","08:00 - 17:00","Yes","08:00 - 17:00","Yes","08:00 - 17:00","Yes","08:00 - 17:00","Yes","08:00 - 17:00","N/A","","N/A","","Paul Roberts","paulroberts@aspireoxford.co.uk","Aspire is a multi-award-winning employment charity and social enterprise. We exist to help vulnerable people who are homeless, long-term unemployed, ex-offenders, people in recovery or those with poor mental well-being to move into the world of work. We give them work experience on our own enterprise businesses and the person-centred support they need to make their own lasting change.","Yes","Yes","Yes","Yes","Yes","N/A","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Health, Social Care & Wellbeing","N/A","N/A","Yes","Yes","N/A","N/A","Yes","N/A","N/A","N/A","N/A","Yes","Oxfordshire Social Entrepreneurship Partnership (OSEP), Oxfordshire Charity Leaders' Forum","Yes","Yes","","320.47","134.44","","","","","","","","","","","163.07","","","","","","","22.96","","",""
