Identifier,Name,Description,Legal Forms,Street Address,Locality,Region,Postcode,Country Name,Website,Companies House Number,IgnoredLat,IgnoredLong,Geo Container,Latitude,Longitide
2020,20/20 Housing Co-operative,,Cooperative,,,,B13 8AB,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/B138AB,52.451880,-1.889728
2rivers,M&S Community Energy Society,,Cooperative,,,,LA14 2PN,,https://www.mandsenergysociety.com/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
3mules,3 Mules Coop LLP,,Cooperative,,,,M155RF,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M155RF,53.465469,-2.248348
3rdway,3rd Way Commonwealth Ltd,,Cooperative,,,,PR7 4LA,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PR74LA,53.611648,-2.605618
8thday,On The Eighth Day Co-Operative Limited,,Cooperative,,,,M1 7DU,,http://8thday.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M17DU,53.470929,-2.237564
a2zprobateresearch,A2Z Probate Research Ltd,,Cooperative,,,,SO15 5EG,,http://a2zprobateresearch.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SO155EG,50.915856,-1.421058
abundantearth,Abundant Earth,,Cooperative,,,,DH7 8EN,,http://www.abundantearth.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/DH78EN,54.736946,-1.659688
accountancy,Accountancy.Coop Ltd,,Cooperative,,,,BH16 6JE,,http://accountancy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BH166JE,50.736527,-2.056602
acu,Afrikan Cooperative Union limited,,Cooperative,,,,EN3 7XU,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/EN37XU,51.674545,-0.022170
agile,Agile Collective Ltd,,Cooperative,,,,OX4 1BA,,https://agile.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX41BA,51.751653,-1.239197
alpha,Alpha Communication,,Cooperative,,,,NE1 4XF,,http://alpha.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NE14XF,54.971186,-1.620081
altgen,Altgen,,Cooperative,,,,SE1 4YR,,http://altgen.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SE14YR,51.499869,-0.092964
alunburgeassociates,Alun Burge & Associates,,Cooperative,,,,SA3 5TR,,http://alunburgeassociates.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SA35TR,51.581584,-4.002548
animorph,animorph,,Cooperative,,,,SE14 6NB,,https://animorph.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SE146NB,51.482497,-0.042344
architects,Leeds Environmental Design Associates Ltd,,Cooperative,,,,LS9 0DG,,https://www.ledaarchitects.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LS90DG,53.788288,-1.519569
argyllsmallwoods,Argyll Small Woods Cooperative,Test that description,Cooperative,,,,PA29 6XG,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA296XG,55.675714,-5.646691
artzone,ArtZone Co-op Ltd,,Cooperative,,,,E1 1LX,,http://www.artzone.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E11LX,51.513155,-0.066885
ash,Argyle Street Housing Co operative,,Cooperative,,,,CB1 3LU,,http://www.ash.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CB13LU,52.197764,0.141263
assamhealthcare,Assam Healthcare Cooperative Ltd.,,Cooperative,,,,NE299JA,,http://assamhealthcare.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NE299JA,55.025756,-1.457901
atomised,Atomised Co-operative Ltd,,Cooperative,,,,KY114SZ,,http://atomised.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/KY114SZ,56.066728,-3.450691
awel,Awel,,Cooperative,,,,SA9 2GN,,http://awel.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SA92GN,51.800904,-3.820471
b4rn,Broadband for the Rural North Ltd,,Cooperative,,,,LA1 3JQ,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA13JQ,54.041681,-2.781757
baywind,Baywind Energy Co-operative,,Cooperative,,,,LA14 2PN,,http://www.baywind.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
bch,Indigo IT,,Cooperative,,,,GU185RP,,http://www.bch.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/GU185RP,51.352722,-0.667252
bchs,bchs,,Cooperative,,,,B11 2AA,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/B112AA,52.456255,-1.839196
bcp,BCP,,Cooperative,,,,PA20 0AP,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA200AP,55.837852,-5.056590
bdx,CBN,,Cooperative,,,,M15 4EN,,http://bdx.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M154EN,53.469864,-2.261134
bedsmusic,Bedford Music Coop,,Cooperative,,,,MK43 9BD,,https://www.bedsmusic.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/MK439BD,52.107402,-0.543343
beechhill,Beech Hill Community Co-operative Ltd,,Cooperative,,,,EX17 6RF,,http://www.beechhill.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/EX176RF,50.864025,-3.733619
bes,Basingstoke Energy Services Co-operative,,Cooperative,,,,RG21 7RA,,http://bes.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/RG217RA,51.265565,-1.103229
beyondbroadband,INCA,,Cooperative,,,,LE16 7WB,,http://www.beyondbroadband.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LE167WB,52.495294,-0.939232
biomassenergy,Biomass Energy Co-operative Limited,,Cooperative,,,,M45 7RW,,http://biomassenergy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M457RW,53.554761,-2.305929
bkw,Brent Knoll Watergate Co-operative Trust,,Cooperative,,,,SE6 3WG,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SE63WG,51.425259,-0.022035
blackcat,Black Cat (Aberdeen) CIC,,Cooperative,,,,AB11 5AA,,https://blackcat.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/AB115AA,57.145897,-2.095221
boundarybrewing,Boundary Brewing,,Cooperative,,,,bt100fs,,https://boundarybrewing.coop/,,,,,,
boveyfutures,Bovey Futures,,Cooperative,,,,TQ13 9QU,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/TQ139QU,50.592841,-3.669282
boyndie,Boyndie Wind Farm Co-operative Ltd,,Cooperative,,,,LA14 2PN,,http://boyndie.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
brighton-compost,Brighton Community Compost Centre Ltd.,,Cooperative,,,,BN1 9SE,,http://brighton-compost.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BN19SE,50.869508,-0.104295
bristolenergy,Bristol Energy Co-operative,,Cooperative,,,,BS1 3RD,,http://www.bristolenergy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BS13RD,51.463188,-2.590087
brixtonhousing,Brixton Housing Co-operative Ltd,,Cooperative,,,,SE24 0LD,,http://www.brixtonhousing.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SE240LD,51.457744,-0.108323
broadband,Community Broadband Network,,Cooperative,,,,M15 4EN,,https://broadband.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M154EN,53.469864,-2.261134
brockley,Brockley Tenants Cooperative Limited,,Cooperative,,,,SE4 1XF,,http://www.brockley-tenants-co-op.co.uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SE41XF,51.468947,-0.026381
brownhill,Brownhill Primary Academy,,Cooperative,,,,LS9 7DH,,http://www.brownhill.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LS97DH,53.803061,-1.509774
bshp,Balfour Street Housing Project,,Cooperative,,,,SE17 1PL,,http://www.bshp.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SE171PL,51.493225,-0.091398
bwce,Bath & West Community Energy,,Cooperative,,,,BA2 3AF,,http://www.bwce.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BA23AF,51.372157,-2.370853
cafekino,Cafe Mono t/a Cafe Kino,,Cooperative,,,,BS1 3RU,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BS13RU,51.464126,-2.589480
calverts,Calverts North Star Press Ltd,,Cooperative,,,,E2 9DT,,http://www.calverts.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E29DT,51.532754,-0.059466
can,Co-operative Assistance Network Ltd,,Cooperative,,,,CM2 0RT,,http://www.can.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CM20RT,51.730092,0.463523
carbon,Society for the Reduction of Carbon Limited,,Cooperative,,,,M21 8UP,,http://carbon.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M218UP,53.441827,-2.273878
cartrefi,Cartrefi Cymru coop,,Cooperative,,,,CF10 5NB,,http://www.cartrefi.org/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CF105NB,51.472258,-3.177362
case,Co-operative and Social Enterprise Development Agency,,Cooperative,,,,LE1 6RX,,http://case.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LE16RX,52.629262,-1.130844
cave,The Cave Co-operative,,Cooperative,,,,KT2 7LU,,http://www.cave.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/KT27LU,51.423360,-0.276450
cbc/1,Co operative Business Consultants,,Cooperative,,,,BD9 4DZ,,https://www.cbc.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BD94DZ,53.819557,-1.777421
cbc/2,Co operative Business Consultants,,Cooperative,,,,L8 3TX,,https://www.cbc.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/L83TX,53.388716,-2.955723
cch,Confederation of Co operative Housing Limited,,Cooperative,,,,B11 2AA,,http://cch.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/B112AA,52.456255,-1.839196
cda,CDA (BRAVE Ltd),,Cooperative,,,,BS2 8QN,,http://cda.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BS28QN,51.460895,-2.588431
cds,CDS Co operatives,,Cooperative,,,,SE1 4YR,,https://www.cds.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SE14YR,51.499869,-0.092964
cdscotland,Co-operative Development Scotland,,Cooperative,,,,EH3 7JF,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/EH37JF,55.950288,-3.213209
cecil,Central England Co-operative Limited,,Cooperative,,,,WS13 6RH,,https://www.cecil.coop/v4/Account/Login?returnUrl=Welcome.asp,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/WS136RH,52.691546,-1.809129
cee,Co-operative Education East,,Cooperative,,,,NR1 3RU,,http://cee.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NR13RU,52.626974,1.293860
centrifuge,Centrifuge Consulting Ltd,,Cooperative,,,,NE4 5TF,,http://centrifuge.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NE45TF,54.972382,-1.623428
